Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature
Belki,Belki,Dedublüman,2022-08-05,163450,81,0.317,0.388,0.496,0.000182,0.153,-8.707,0.03,183.965,4
Bu Akşam,Belki Alışman Lazım,Duman,2002-10-16,175666,61,0.00865,0.475,0.85,5.85e-05,0.315,-6.435,0.0405,149.969,4
Yıldızların Altında,Yıldızların Altında,Kargo,2005-07-14,177580,68,0.518,0.604,0.85,0.0,0.0969,-5.542,0.0413,141.933,4
Dibine Kadar,Duman 1,Duman,2010-07-06,228506,68,0.00207,0.437,0.923,2.48e-06,0.107,-6.794,0.0509,141.636,4
Bir Derdim Var,Dünya Yalan Söylüyor,mor ve ötesi,2004-04-16,204320,0,0.012,0.586,0.89,0.00508,0.114,-1.988,0.0369,119.062,4
Anason,13,Zakkum,2011-02-10,275304,0,0.525,0.619,0.644,0.0,0.129,-4.368,0.0249,94.991,4
Islak Islak,Islak Islak,Barış Akarsu,2004-12-31,286484,0,0.00669,0.599,0.759,0.000396,0.16,-6.879,0.0285,124.955,4
Yanında Uyansam,Yanında Uyansam,Kaldı 8,2022-09-09,199651,48,0.0632,0.483,0.936,0.0,0.292,-7.887,0.0618,185.954,4
Kendime Yalan Söyledim,Akiyor Zaman,Seksendört,2011-03-03,267080,66,0.21,0.69,0.731,0.0,0.0611,-5.77,0.0317,126.992,4
Cevapsız Sorular,Şehr-i Hüzün,maNga,2009-11-09,272040,68,0.103,0.463,0.696,0.0,0.104,-4.517,0.0294,187.971,4
Yıldızlar Üstüne Parlıyorken,Yıldızlar Üstüne Parlıyorken,Çetin Dilsiz,2022-05-13,176385,47,0.245,0.557,0.747,0.0,0.185,-6.309,0.0334,83.011,4
Haydi Gel İçelim,Katil & Maktül,Yüksek Sadakat,2008,250440,0,0.0825,0.635,0.66,0.0,0.0779,-4.558,0.0711,136.017,4
Ben Seni Ararken,Ben Seni Ararken,Virane,2022-01-07,322159,44,0.16,0.334,0.472,0.000863,0.0898,-11.684,0.0503,175.873,4
Anlayamazsın,Anlayamazsın,Seksendört,2018-06-12,242389,68,0.0632,0.488,0.707,0.0,0.258,-6.834,0.033,81.999,4
Beni Yakın,Beni Yakın,Mentra,2021-03-26,232987,39,0.0346,0.541,0.627,5.21e-05,0.271,-8.856,0.0329,153.942,4
Aşk Nerden Nereye,Yalnızlığın Çaresini Bulmuşlar,Gripin,2012-11-07,297195,68,0.535,0.594,0.588,0.0,0.165,-6.04,0.0318,139.979,4
Sarılsak Geçerdi,Sarılsak Geçerdi,Kaldı 8,2020-07-23,223717,0,0.1,0.5,0.549,0.000423,0.439,-12.005,0.0282,75.018,4
Oyunbozan,Güneşi Beklerken,mor ve ötesi,2012-12-17,277328,0,0.000449,0.492,0.866,0.00648,0.178,-5.101,0.0342,131.309,4
Beni Aşka İnandır,Yatağın Soğuk Tarafı,Kolpa,2011,253654,0,0.198,0.589,0.793,0.0,0.159,-5.731,0.0368,133.914,4
Her Yol Uçurum,Her Yol Uçurum,Mentra,2022-03-18,179888,48,0.0589,0.601,0.745,0.519,0.353,-5.904,0.0277,127.905,4
Gemiler,O,Teoman,1998-06-19,260066,58,0.0796,0.552,0.706,0.0,0.046,-8.785,0.0444,79.991,4
Gamzedeyim Deva Bulmam,Gamzedeyim Deva Bulmam,Dedublüman,2020-02-01,316800,71,0.036,0.465,0.436,0.378,0.141,-10.541,0.0289,125.047,4
Savaşım Kendimle,Savaşım Kendimle,Kaldı 8,2020-08-21,212625,41,0.336,0.466,0.562,0.0,0.312,-11.035,0.0383,159.902,3
